Area,Extent,Solidity,roundness,ShapeFactor2,ShapeFactor4,target
32218,0.754431565,0.989314008,0.947743902,0.002914808,0.998635954,1
32233,0.775204425,0.985417304,0.91458402,0.002976782,0.999538373,1
32251,0.764060649,0.991911177,0.977040422,0.002988674,0.998896821,1
32258,0.775805676,0.9891451,0.945408164,0.002996515,0.998572412,1
32262,0.781313572,0.99075638,0.952462642,0.002921047,0.999670452,1
32279,0.790183599,0.989455292,0.970325944,0.00310789,0.999029442,1
32323,0.784843629,0.991047064,0.962593368,0.003147053,0.998621278,1
32338,0.782490866,0.989777179,0.951253518,0.002979295,0.999061903,1
32355,0.783793605,0.988844743,0.941458316,0.002986188,0.998979202,1
32368,0.759099437,0.986648784,0.891708502,0.002972113,0.998661291,1
32376,0.784302326,0.992885182,0.984008731,0.00307693,0.9990337,1
32433,0.769320176,0.989565217,0.953586944,0.003052717,0.999120486,1
32465,0.765034405,0.99078341,0.954265043,0.002842471,0.999221913,1
32514,0.7849831,0.989982645,0.970006874,0.002994125,0.99898737,1
32518,0.758915235,0.991070068,0.962284651,0.003001917,0.999285467,1
32518,0.794032183,0.990134584,0.952088655,0.003019962,0.999099038,1
32525,0.769057978,0.985606061,0.927264249,0.002852456,0.998781044,1
32578,0.781922043,0.990182669,0.946779791,0.002783756,0.999217682,1
32581,0.772061611,0.991781072,0.970297635,0.002882408,0.99956916,1
32615,0.808562858,0.987854374,0.927383997,0.003141747,0.996644368,1
32622,0.779311992,0.991489879,0.949681133,0.002504991,0.996532141,1
32698,0.767684831,0.991028672,0.963472928,0.002870063,0.999338006,1
32705,0.779469946,0.990430332,0.959545923,0.00291469,0.999203884,1
32713,0.799516082,0.990702604,0.943595321,0.003272537,0.999312465,1
32729,0.769153036,0.989808262,0.953753937,0.003327167,0.998423911,1
32774,0.790153816,0.98955314,0.943721321,0.002960563,0.998699087,1
32775,0.772630835,0.991319339,0.975402341,0.00307699,0.999224026,1
32795,0.775992617,0.99105497,0.972334053,0.002871066,0.998966867,1
32796,0.800820453,0.990486545,0.961128742,0.002951598,0.998455917,1
32799,0.746177996,0.991295675,0.964439446,0.003084267,0.998905089,1
32829,0.789785166,0.990197261,0.952538233,0.003016833,0.998001409,1
32836,0.80291471,0.988291949,0.92142762,0.003151785,0.998252833,1
32849,0.746568182,0.988088434,0.935962647,0.002674566,0.997432131,1
32870,0.781242573,0.990119887,0.961276389,0.003071937,0.999493233,1
32885,0.785669916,0.989766742,0.949462632,0.002808882,0.999116914,1
32920,0.777974713,0.986337488,0.917134004,0.00313021,0.999213067,1
32925,0.768683025,0.990166005,0.959562001,0.002885601,0.998658083,1
32934,0.776708646,0.986018383,0.926926508,0.003034312,0.998889334,1
32947,0.765319396,0.988330934,0.927198033,0.003573241,0.999009917,1
32951,0.770801656,0.982907768,0.874124721,0.002830133,0.9977699,1
32988,0.766699205,0.98586414,0.905000877,0.002905675,0.998412327,1
33006,0.757018349,0.986490525,0.924597414,0.002955279,0.998740978,1
33010,0.791587732,0.989093306,0.935626643,0.002899108,0.999637011,1
33013,0.789784689,0.991708973,0.973842946,0.002945848,0.998953052,1
33019,0.764328704,0.990371926,0.965071386,0.002920141,0.998956688,1
33051,0.777926846,0.98886994,0.94465755,0.003148775,0.998562178,1
33058,0.799274662,0.992136855,0.96677736,0.00292376,0.998156772,1
33062,0.77866227,0.988725739,0.931172778,0.003020233,0.998978601,1
33078,0.787721471,0.992349923,0.955822961,0.002530662,0.999220922,1
33078,0.772417336,0.99252858,0.977167183,0.003048481,0.999386727,1
33089,0.774410223,0.988734835,0.94334064,0.003223218,0.998153785,1
33090,0.769355964,0.992144399,0.972758069,0.002776965,0.998753033,1
33143,0.769979556,0.992989184,0.9906854,0.003007791,0.999465189,1
33159,0.788111423,0.99233877,0.974810341,0.003012584,0.999037863,1
33168,0.761240274,0.9888498,0.899742964,0.002578196,0.998049369,1
33171,0.790237278,0.99228215,0.973563187,0.003021425,0.998253339,1
33194,0.773698809,0.990274463,0.944219534,0.002647671,0.99914592,1
33236,0.76828479,0.988842938,0.956520582,0.003545182,0.998825651,1
33248,0.787661984,0.992151831,0.958954568,0.002698359,0.999198547,1
33251,0.757943925,0.990645017,0.962263101,0.003233803,0.998511968,1
33276,0.759656652,0.98283959,0.842534348,0.002571003,0.998604963,1
33316,0.782616866,0.988634678,0.931005952,0.002766344,0.998819588,1
33319,0.7960388,0.987756433,0.936629385,0.002924453,0.998390229,1
33325,0.798969072,0.988843061,0.920666621,0.00297195,0.999129255,1
33330,0.790184922,0.992555092,0.979912348,0.002951196,0.998499238,1
33333,0.772240756,0.98519241,0.907840655,0.003107876,0.998607762,1
33338,0.776747437,0.991052053,0.964368085,0.002660694,0.999103524,1
33344,0.763352487,0.989671139,0.957540959,0.002914941,0.998693823,1
33382,0.781688327,0.989682775,0.964671718,0.003015483,0.998892294,1
33399,0.761491108,0.989541361,0.949927944,0.003070858,0.99918944,1
33421,0.763385107,0.99198599,0.979504999,0.003158306,0.998962666,1
33423,0.772982724,0.99157445,0.967023472,0.002967046,0.999243833,1
33427,0.754491694,0.989286454,0.948129347,0.002812018,0.999254077,1
33429,0.791743641,0.99157595,0.968463377,0.00276746,0.998953785,1
33431,0.788708802,0.989434119,0.94474509,0.003143618,0.999387241,1
33433,0.776807082,0.991841699,0.972284135,0.002935035,0.998016261,1
33446,0.767814509,0.992080206,0.97643744,0.002966471,0.998190058,1
33447,0.770224525,0.989819774,0.952120901,0.002892999,0.997850654,1
33459,0.786308517,0.990937361,0.978794213,0.003179858,0.999322138,1
33468,0.792329545,0.991703212,0.965536869,0.002959465,0.999428669,1
33498,0.781494961,0.992680397,0.973658914,0.002828579,0.998934738,1
33534,0.783504673,0.992335691,0.976058644,0.003199462,0.99952907,1
33538,0.760516111,0.992248521,0.972569007,0.002847646,0.998623154,1
33539,0.76426488,0.98891346,0.96049636,0.002996733,0.998474442,1
33547,0.783570411,0.991576023,0.987089244,0.003434872,0.999495365,1
33560,0.739858907,0.990058117,0.941549974,0.002833885,0.997912291,1
33576,0.761792399,0.989654258,0.950272923,0.002963911,0.999402573,1
33583,0.775302429,0.991584977,0.975444036,0.003081467,0.999531679,1
33584,0.748056576,0.991146264,0.972236276,0.002998676,0.998779494,1
33607,0.770802752,0.983753879,0.886596875,0.003392637,0.998574112,1
33620,0.783244805,0.988474656,0.940519106,0.003040829,0.999601877,1
33623,0.793238493,0.991302553,0.97171275,0.003273607,0.999291894,1
33631,0.762884493,0.988885295,0.94405814,0.002956874,0.998179631,1
33639,0.78625187,0.99174504,0.961582569,0.002966531,0.998901357,1
33717,0.766225798,0.992114168,0.959948457,0.002713355,0.998334283,1
33731,0.803214668,0.989962727,0.939493017,0.002730382,0.998150371,1
33736,0.786863834,0.992585618,0.985949497,0.003108981,0.999399693,1
33794,0.77773175,0.99024233,0.957917183,0.003217421,0.999474035,1
33809,0.784067718,0.990217614,0.948303455,0.002769795,0.998905748,1
33824,0.788438228,0.992517386,0.986684731,0.003144127,0.999000177,1
33838,0.782128328,0.99097991,0.973135967,0.003052424,0.998659141,1
33845,0.763926508,0.990807693,0.944779673,0.002917233,0.999124671,1
33849,0.786271777,0.98860948,0.948773259,0.003110104,0.998995719,1
33858,0.781254326,0.9916818,0.963681409,0.002631175,0.999051301,1
33860,0.77518315,0.986625484,0.911286442,0.002951515,0.998082241,1
33864,0.771600437,0.991131794,0.968399824,0.00312814,0.99920581,1
33866,0.799933862,0.991074303,0.952518888,0.002749896,0.999247591,1
33876,0.788272251,0.990207828,0.95696179,0.002852564,0.999408522,1
33930,0.76272901,0.990628011,0.960652272,0.003012742,0.999332311,1
33946,0.791226721,0.991239853,0.957942188,0.002734615,0.998065399,1
33946,0.761530869,0.990256709,0.954360587,0.002623886,0.999018617,1
33961,0.770405154,0.987841415,0.895463526,0.002513022,0.999348194,1
33961,0.771192406,0.990723183,0.957837195,0.002680874,0.99869476,1
33969,0.764705882,0.99150613,0.961251403,0.003089598,0.998648649,1
33972,0.785661425,0.989024426,0.943069114,0.00268608,0.998576378,1
33993,0.778228022,0.991078457,0.954174231,0.003203313,0.999309207,1
33996,0.764693974,0.991570658,0.969700851,0.003061614,0.998141063,1
34004,0.781970795,0.992035476,0.981071581,0.00282933,0.999195494,1
34027,0.778507367,0.991058426,0.952086748,0.002737054,0.997904053,1
34036,0.753842746,0.990311036,0.964078826,0.002912555,0.999254348,1
34051,0.757901531,0.986928294,0.932853601,0.002887309,0.998985208,1
34053,0.743986367,0.991007508,0.948783552,0.002711717,0.998630587,1
34060,0.789083496,0.991067012,0.976218398,0.003179677,0.99921995,1
34082,0.801740767,0.991793738,0.958809282,0.002778401,0.998767351,1
34097,0.762250738,0.98826155,0.925014467,0.00288367,0.998698862,1
34104,0.798426745,0.990790506,0.962470112,0.002822136,0.998304094,1
34113,0.77466164,0.989011945,0.943888774,0.003150032,0.99902473,1
34130,0.795515465,0.992381949,0.965239485,0.002611769,0.998455947,1
34131,0.770625423,0.990079192,0.960920889,0.003023015,0.999523568,1
34151,0.750455974,0.987593985,0.943939862,0.002752161,0.998842241,1
34151,0.778210737,0.993079182,0.978876878,0.002938029,0.998532653,1
34179,0.778015524,0.988518047,0.936935665,0.002998206,0.998805163,1
34191,0.771980131,0.992625925,0.982176064,0.003042838,0.999419589,1
34207,0.757730817,0.991076344,0.961200851,0.002884861,0.997818199,1
34207,0.774299425,0.993782865,0.983423569,0.002929298,0.998849085,1
34220,0.773752996,0.989675218,0.936777941,0.002698915,0.999416658,1
34222,0.7843326,0.989761684,0.95232341,0.003073614,0.999459017,1
34239,0.769554077,0.992147204,0.968746459,0.002717745,0.998021251,1
34246,0.779558388,0.98600714,0.91895908,0.002818024,0.998232204,1
34253,0.792893519,0.991231624,0.951641846,0.002889812,0.99952856,1
34254,0.775363303,0.990715835,0.962616531,0.003048938,0.998980392,1
34259,0.770124761,0.989486757,0.940967839,0.002907858,0.999113929,1
34276,0.763113367,0.986700443,0.905675761,0.002833396,0.998418874,1
34291,0.78204251,0.990525434,0.955628131,0.002794308,0.998225074,1
34313,0.796975891,0.991705202,0.955282162,0.003181787,0.998190384,1
34321,0.787467878,0.990447882,0.962118171,0.00289587,0.999154491,1
34327,0.793596116,0.98885176,0.940306539,0.002779127,0.998794531,1
34333,0.779056047,0.99251272,0.973604944,0.002850909,0.999164893,1
34337,0.809796708,0.992886678,0.967606759,0.002829267,0.997974317,1
34349,0.783365262,0.991456199,0.947747671,0.002540493,0.999211428,1
34390,0.793932958,0.989384044,0.933937272,0.002338061,0.998525184,1
34394,0.781681818,0.990325367,0.963499612,0.002793133,0.998601293,1
34395,0.791235335,0.992984583,0.97691809,0.002764527,0.998963182,1
34397,0.772202766,0.989101679,0.937956691,0.002835397,0.998276103,1
34410,0.80069808,0.98873628,0.92293633,0.002739375,0.997533191,1
34412,0.787459954,0.992358047,0.971424393,0.002687143,0.999343236,1
34419,0.775202703,0.986641823,0.914297554,0.003056478,0.999494009,1
34421,0.755708264,0.990190438,0.940871694,0.002742162,0.996975296,1
34425,0.758928571,0.989480038,0.934165286,0.00273394,0.99919998,1
34428,0.777770247,0.98624957,0.913524268,0.002839517,0.997022673,1
34441,0.790874437,0.988945041,0.947980998,0.002879318,0.999112631,1
34443,0.784650082,0.987641223,0.923751269,0.002667327,0.996552217,1
34447,0.745783628,0.988351075,0.928179091,0.003020632,0.997569588,1
34461,0.770181477,0.993370038,0.948273245,0.00229449,0.998203899,1
34469,0.789667812,0.991999309,0.974098956,0.002827162,0.998375252,1
34474,0.793308174,0.991372865,0.958462926,0.003000469,0.999338019,1
34475,0.776463964,0.988445438,0.943343645,0.002461613,0.99854641,1
34483,0.740677893,0.983795042,0.916610562,0.002700237,0.996017635,1
34491,0.785850991,0.990295443,0.952246946,0.002720295,0.998693127,1
34503,0.747724515,0.989049735,0.94254029,0.002606859,0.999059527,1
34509,0.783654283,0.992322291,0.970862501,0.002824124,0.999176286,1
34521,0.78580046,0.991128338,0.972433566,0.003040559,0.999379565,1
34523,0.785863874,0.989821664,0.955026346,0.002767646,0.998942305,1
34532,0.768333927,0.985024389,0.912638553,0.00337839,0.999406557,1
34543,0.769194798,0.991873887,0.964405129,0.002661072,0.99919857,1
34543,0.786784803,0.991845407,0.968558463,0.002954088,0.99896669,1
34594,0.781432121,0.992711203,0.968214523,0.002719381,0.99903387,1
34600,0.777790266,0.990864572,0.959247461,0.00279119,0.99944413,1
34601,0.780620417,0.987246063,0.925151042,0.002976951,0.998815588,1
34622,0.763726204,0.988917452,0.931611724,0.002636388,0.998887155,1
34623,0.759576148,0.99021879,0.954317679,0.002913734,0.998346985,1
34626,0.761848185,0.991779566,0.975575378,0.002776931,0.998184251,1
34629,0.745816373,0.991808678,0.966515131,0.002732994,0.997060492,1
34631,0.760686201,0.990787629,0.969391848,0.002871071,0.999293816,1
34635,0.764012971,0.991582925,0.976434152,0.002958522,0.998960346,1
34638,0.757876772,0.989968276,0.948817239,0.002679579,0.997758426,1
34666,0.797799871,0.989495918,0.939291173,0.00301144,0.998228005,1
34671,0.765769944,0.990175639,0.956601017,0.002651542,0.998556376,1
34676,0.777907394,0.991252644,0.975292284,0.002986251,0.998862198,1
34680,0.77594308,0.992530265,0.972054226,0.002803908,0.998396077,1
34700,0.747877064,0.987085396,0.914792671,0.00272109,0.997923747,1
34703,0.77323975,0.990806567,0.953205151,0.002823793,0.99847002,1
34722,0.790375817,0.992085488,0.970863662,0.002958281,0.998978336,1
34729,0.777143752,0.99103958,0.968740162,0.002899117,0.997912027,1
34733,0.777807636,0.991833005,0.97067019,0.002917891,0.99909414,1
34747,0.78414425,0.991553235,0.966334706,0.002693173,0.999489048,1
34748,0.770465632,0.99149689,0.974856864,0.003215286,0.999207815,1
34750,0.805069039,0.990282409,0.956724018,0.003125209,0.99850622,1
34757,0.786410842,0.988819346,0.926015239,0.002811321,0.998503791,1
34761,0.776816841,0.988342669,0.92318101,0.002866813,0.998773812,1
34766,0.75210384,0.991784105,0.974755876,0.002777835,0.998226137,1
34771,0.783978175,0.988851918,0.936369007,0.00283606,0.999016443,1
34772,0.763179843,0.990570607,0.967764075,0.002931924,0.998986125,1
34774,0.780561167,0.989612681,0.951384824,0.002913865,0.998903461,1
34787,0.726833957,0.990349029,0.952803043,0.002827417,0.995920994,1
34792,0.784929498,0.987539383,0.912512069,0.00293419,0.999616525,1
34794,0.747197526,0.988831102,0.909023168,0.002597559,0.997566851,1
34794,0.784974619,0.992639507,0.970264152,0.002626638,0.99897939,1
34800,0.784632035,0.990888383,0.968978812,0.002989451,0.99944881,1
34841,0.789079132,0.991575832,0.958497188,0.002791698,0.998095872,1
34841,0.787580813,0.991999317,0.974743466,0.003111442,0.998764748,1
34847,0.761017689,0.989156661,0.928807931,0.002636808,0.997877658,1
34850,0.7725046,0.992340329,0.96319178,0.002848167,0.99900535,1
34865,0.793179543,0.988909689,0.947505431,0.003068,0.99884357,1
34878,0.765204037,0.991190178,0.971888339,0.003045172,0.999285266,1
34878,0.784480432,0.990373967,0.949894318,0.002893054,0.998559301,1
34879,0.769785919,0.988129639,0.920682093,0.002647051,0.99799926,1
34879,0.792362389,0.989250667,0.960650949,0.0031116,0.997809185,1
34882,0.792916894,0.990431301,0.947786227,0.00270423,0.999182774,1
34883,0.79973864,0.991501336,0.968784811,0.002781892,0.998471206,1
34895,0.76303245,0.990575411,0.954768529,0.003048427,0.999535251,1
34911,0.762515289,0.99032679,0.955877575,0.002681281,0.998223383,1
34911,0.771070766,0.991677082,0.977110029,0.002781531,0.99944021,1
34912,0.774376719,0.990551851,0.959958935,0.002857807,0.999441081,1
34924,0.712095261,0.919246157,0.658073911,0.002026054,0.947687403,1
34934,0.75706484,0.985583298,0.927994074,0.002865255,0.997612521,1
34936,0.786846847,0.988204679,0.942296065,0.0027969,0.998232742,1
34945,0.76000435,0.991882149,0.963309985,0.002693007,0.998878406,1
34958,0.797927461,0.99160379,0.971367322,0.002826405,0.999258887,1
34960,0.80349345,0.98919133,0.946014953,0.002607626,0.99692254,1
34968,0.755509463,0.992901357,0.969256937,0.002590271,0.999181827,1
34968,0.743367347,0.975179876,0.780370411,0.00244233,0.994711447,1
34971,0.782454021,0.991550654,0.969700104,0.002694608,0.998858983,1
34980,0.785290948,0.991609026,0.96418627,0.002765053,0.998954677,1
34995,0.757992549,0.991415944,0.951914484,0.002629129,0.999361943,1
35022,0.791779707,0.992321424,0.978361547,0.002810589,0.99863174,1
35031,0.79899188,0.990443609,0.964317665,0.002802894,0.998236977,1
35042,0.800045662,0.99044658,0.961768562,0.00305132,0.999298151,1
35049,0.777484472,0.991513197,0.954200246,0.002919971,0.999120729,1
35059,0.7777063,0.992779068,0.976379396,0.002880295,0.998620705,1
35062,0.778740227,0.985468956,0.894204122,0.003150504,0.998504989,1
35066,0.788708952,0.991797715,0.968546765,0.002918481,0.999054778,1
35069,0.752682864,0.986109158,0.919684117,0.002728719,0.996917913,1
35081,0.76844388,0.99112869,0.960251575,0.002710216,0.998199027,1
35083,0.767613338,0.987891758,0.931729962,0.002896664,0.997822159,1
35083,0.782700846,0.988894213,0.938150821,0.002960596,0.998653599,1
35085,0.735457499,0.983930675,0.916070945,0.002358635,0.998811881,1
35087,0.768945869,0.989006962,0.958748216,0.002625951,0.998794754,1
35091,0.780250812,0.989426493,0.931002892,0.003045951,0.999175106,1
35091,0.762367203,0.989817218,0.937456494,0.002791941,0.99760601,1
35105,0.782720178,0.988650445,0.932181424,0.002797677,0.999240229,1
35106,0.787430186,0.988817846,0.930216457,0.002843874,0.999243393,1
35106,0.810387812,0.990435887,0.953084795,0.002727141,0.998487952,1
35122,0.784393425,0.989881909,0.955000906,0.002820072,0.998856915,1
35123,0.791914683,0.990580139,0.940010129,0.002768643,0.998656393,1
35128,0.785527404,0.992989597,0.984352571,0.002948161,0.999263734,1
35130,0.780146569,0.990330674,0.960302653,0.002567358,0.999181546,1
35131,0.749989326,0.990554334,0.943131656,0.002723542,0.998972165,1
35134,0.797575537,0.993608597,0.986812285,0.003032964,0.998733047,1
35145,0.782809159,0.991564158,0.952079756,0.00242634,0.999259916,1
35149,0.782549648,0.989861725,0.948591369,0.002576945,0.999384208,1
35162,0.786287708,0.991875882,0.974203092,0.002881288,0.999042123,1
35165,0.785845177,0.991596876,0.966795425,0.002784163,0.999334104,1
35175,0.773552956,0.985100961,0.885450557,0.003015233,0.998954228,1
35176,0.79536924,0.990901152,0.954729791,0.002683261,0.999586185,1
35208,0.767660911,0.990797805,0.960980094,0.002809149,0.99754003,1
35221,0.762755544,0.992588209,0.972326252,0.00263641,0.999282944,1
35223,0.766784222,0.991164139,0.973523935,0.002847569,0.997954259,1
35237,0.778271049,0.992535632,0.968772063,0.002752672,0.998790493,1
35246,0.781282557,0.990083991,0.948679991,0.002546746,0.999625379,1
35247,0.759012016,0.989945232,0.950678806,0.002716258,0.998651065,1
35254,0.769805223,0.98817132,0.938529434,0.003092377,0.998739992,1
35259,0.752240143,0.991061641,0.964363679,0.002720686,0.999097017,1
35272,0.779922609,0.990258008,0.951010328,0.002819908,0.999329366,1
35272,0.775089547,0.989757836,0.950548013,0.002895923,0.99882218,1
35277,0.787556091,0.992963098,0.967623431,0.0025986,0.997413187,1
35283,0.779080551,0.991401838,0.955004742,0.003140269,0.998696127,1
35287,0.789383025,0.990456676,0.964785022,0.003155569,0.99909359,1
35288,0.794953818,0.991013255,0.967596331,0.002803358,0.998754563,1
35300,0.767224516,0.990460157,0.943722302,0.002611299,0.999292383,1
35302,0.781674859,0.990405117,0.962164123,0.002687987,0.998793498,1
35304,0.789904685,0.987883706,0.941605758,0.002733707,0.997637587,1
35313,0.773898751,0.987969672,0.928753744,0.002786063,0.998564238,1
35316,0.76056338,0.990992508,0.951597201,0.002627024,0.999299765,1
35321,0.761491031,0.990215868,0.951754225,0.002794318,0.998181095,1
35330,0.746871301,0.990884869,0.952613205,0.002734892,0.998423202,1
35337,0.765267672,0.990636652,0.968247541,0.002943202,0.999263854,1
35338,0.787686958,0.990720233,0.958002864,0.003002507,0.998778192,1
35339,0.764648607,0.990803824,0.966320784,0.002947685,0.998158653,1
35344,0.762545847,0.987069567,0.919985412,0.002745544,0.998235326,1
35352,0.755384615,0.988590604,0.949225585,0.002848602,0.998770659,1
35354,0.754363504,0.989587415,0.939287602,0.002723642,0.99848133,1
35354,0.768565217,0.991252173,0.957339529,0.002646074,0.999005947,1
35364,0.79216881,0.988898521,0.951691714,0.003219384,0.998391922,1
35376,0.770702163,0.991118707,0.95737865,0.002670726,0.999236332,1
35377,0.781984969,0.9906194,0.939854937,0.002628317,0.999293419,1
35384,0.747981229,0.991203989,0.962583648,0.002700283,0.998794169,1
35402,0.775900235,0.991763783,0.957829256,0.002871732,0.998862259,1
35403,0.770669163,0.991319688,0.966632975,0.00276355,0.998788713,1
35408,0.735093838,0.990018174,0.950454118,0.002500759,0.998187811,1
35410,0.765952844,0.983693086,0.896037148,0.002966054,0.999153494,1
35412,0.795918367,0.992127308,0.976307876,0.002987629,0.999032507,1
35414,0.764749071,0.991183632,0.959662852,0.002655655,0.998827199,1
35432,0.79064578,0.990910871,0.959060245,0.002774496,0.998893526,1
35437,0.781549116,0.989749749,0.947224635,0.00298841,0.998125776,1
35438,0.793595342,0.991938644,0.967591457,0.002795086,0.998929038,1
35438,0.767454955,0.99196641,0.97044743,0.002750624,0.999260517,1
35442,0.729589526,0.983243633,0.911841034,0.00266687,0.997429265,1
35442,0.791557789,0.990248945,0.959894351,0.002960777,0.998389748,1
35450,0.775456633,0.991774843,0.960596075,0.002703996,0.999140346,1
35454,0.781699923,0.99188675,0.971527984,0.002713394,0.99897677,1
35467,0.766721432,0.989454596,0.953977692,0.003034229,0.998588916,1
35473,0.791348771,0.988821988,0.943837534,0.002532653,0.998537604,1
35481,0.789010207,0.992364491,0.966832064,0.002635131,0.99899063,1
35499,0.771650291,0.989188285,0.941102697,0.002974712,0.998943941,1
35507,0.781920282,0.990846937,0.958902087,0.002593307,0.999252926,1
35510,0.771956522,0.991927149,0.973677814,0.003029725,0.998590603,1
35511,0.759074003,0.96916023,0.905521032,0.003153498,0.988091963,1
35517,0.771622238,0.989855355,0.968557402,0.002807945,0.99925219,1
35532,0.791640674,0.991959799,0.976570477,0.002878594,0.999369626,1
35534,0.777617297,0.989226358,0.953543639,0.002878813,0.998633019,1
35539,0.826104138,0.991242016,0.935883361,0.002356594,0.995155798,1
35544,0.784462591,0.98873404,0.956510555,0.002837821,0.999192714,1
35555,0.756087188,0.987063102,0.918624328,0.002629446,0.998765267,1
35565,0.801428668,0.990061801,0.958612545,0.00302865,0.999198069,1
35589,0.779998685,0.989215332,0.945030857,0.002740047,0.998838197,1
35598,0.753636075,0.987598835,0.927453647,0.002408875,0.996496759,1
35602,0.780916868,0.990567875,0.944126734,0.002554385,0.998778363,1
35605,0.742621754,0.989907696,0.927000559,0.002404737,0.999313588,1
35608,0.784144462,0.989193544,0.941750475,0.002563311,0.998520336,1
35609,0.789329018,0.98908394,0.948184461,0.00292023,0.999184079,1
35610,0.756806155,0.992253678,0.972347904,0.002764014,0.99783662,1
35615,0.74334196,0.989195645,0.933164276,0.002815432,0.996886698,1
35634,0.784285243,0.989668389,0.951915555,0.002741442,0.998693504,1
35647,0.771312965,0.99038702,0.958726687,0.002796285,0.999403073,1
35647,0.765088427,0.992206419,0.969458687,0.002706574,0.999213887,1
35652,0.798978083,0.990278318,0.96764915,0.00302881,0.998711813,1
35672,0.779375137,0.988746605,0.939429298,0.002534025,0.999221227,1
35677,0.76843715,0.987735327,0.942423825,0.002715165,0.998829212,1
35680,0.804020101,0.991358951,0.952577641,0.002897996,0.998496489,1
35683,0.787495586,0.986045098,0.915231552,0.002674944,0.997017398,1
35684,0.768587921,0.99251801,0.97479954,0.002657217,0.998614968,1
35690,0.754768853,0.988040529,0.917769708,0.002722334,0.999043608,1
35690,0.752572537,0.989766771,0.938679942,0.002634428,0.999259086,1
35693,0.779544412,0.991554852,0.969773596,0.002948076,0.999118855,1
35699,0.758488081,0.988782406,0.93110906,0.00269311,0.997808017,1
35702,0.783970136,0.989879946,0.944011947,0.002803367,0.999235043,1
35703,0.76530481,0.990951733,0.957401434,0.002733309,0.99973253,1
35703,0.785544554,0.992108261,0.976778354,0.002930058,0.999147527,1
35704,0.766311813,0.991943102,0.960211941,0.002547427,0.999434459,1
